[2023-12-14 02:39:56] : {'id': 'cojgq8dsmw', 'status': 'pending', 'total_operations': 0, 'finished_operations': 0, 'errored_operations': 0, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}



[2023-12-14 02:40:33] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 1031, 'errored_operations': 984, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
[2023-12-14 02:40:43] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 1170, 'errored_operations': 1118, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
[2023-12-14 02:40:56] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 1539, 'errored_operations': 1472, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
[2023-12-14 02:42:03] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 3000, 'errored_operations': 2802, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
[2023-12-14 02:43:09] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 4090, 'errored_operations': 3763, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
[2023-12-14 02:43:58] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 4215, 'errored_operations': 3763, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
[2023-12-14 02:44:18] : {'id': 'cojgq8dsmw', 'status': 'started', 'total_operations': 6638, 'finished_operations': 4279, 'errored_operations': 3763, 'submitted_at': '2023-12-14T07:40:25+00:00', 'completed_at': '', 'response_body_url': '', '_links': [{'rel': 'parent', 'href': 'https://us7.api.mailchimp.com/3.0/batches', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/CollectionResponse.json', 'schema': 'https://us7.api.mailchimp.com/schema/3.0/Paths/Batches/Collection.json'}, {'rel': 'self', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'GET', 'targetSchema': 'https://us7.api.mailchimp.com/schema/3.0/Definitions/Batches/Response.json'}, {'rel': 'delete', 'href': 'https://us7.api.mailchimp.com/3.0/batches/cojgq8dsmw', 'method': 'DELETE'}]}
